candidate_id,name,party,city,1270,1275,1277,1278,1279,1280,1281,1285,1287,1288,1289,1290,1292,1293,1294,1295,1298,1299,1300,1301,1304,1305,1306,1307,1308
123,Torben Guldbæk,Liberal Alliance,København,1.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,1.0,4.0,5.0
124,Freja Brandhøj,Liberal Alliance,København Ø,1.0,1.0,4.0,5.0,4.0,5.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,5.0,2.0,1.0,4.0,5.0
125,Jonas Juhl,Liberal Alliance,Gentofte,1.0,1.0,4.0,5.0,4.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0
127,Hanne Bjørn,Liberal Alliance,Herlev,1.0,1.0,2.0,5.0,4.0,4.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,1.0,2.0,4.0,5.0
128,Jacqueline Kristensen,Liberal Alliance,Søborg,1.0,2.0,4.0,5.0,4.0,5.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,4.0,5.0
129,Patrizia Venturelli Christensen,Liberal Alliance,Charlottenlund,1.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,1.0,2.0,5.0
130,Michael Melchert,Liberal Alliance,Albertslund,1.0,1.0,4.0,5.0,4.0,4.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,4.0,1.0,4.0
131,Pernille Vermund,Liberal Alliance,Snekkersten,1.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0
132,Joachim Riis,Liberal Alliance,Lejre Kommune,1.0,2.0,4.0,5.0,4.0,4.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,5.0
133,Lars-Christian Brask,Liberal Alliance,Roskilde,1.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0
134,Mads Brenøe,Liberal Alliance,Lejre,1.0,1.0,4.0,5.0,4.0,5.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,4.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,4.0
135,Martin Mickey Pedersen,Liberal Alliance,Holeby,1.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,4.0,2.0,2.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0
136,Frederik Grünfeld,Liberal Alliance,Holbæk ,1.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,2.0,4.0,5.0
137,Michael Rask,Liberal Alliance,Greve,1.0,2.0,2.0,5.0,4.0,5.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,5.0
138,Sandra Skalvig,Liberal Alliance,Toksværd,1.0,1.0,2.0,5.0,4.0,5.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,5.0,5.0,2.0,5.0,4.0,5.0,2.0,2.0,1.0,5.0
139,Nicolai Sandager,Liberal Alliance,Sorø,1.0,1.0,2.0,5.0,4.0,5.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,2.0,1.0,4.0,5.0
140,Henrik B. Dynesen,Liberal Alliance,Sorø,1.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,5.0,1.0,1.0,2.0,5.0
141,Julie Memborg,Liberal Alliance,Stege,1.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,1.0,4.0,5.0
142,Steffen Friis,Liberal Alliance,Sorø,1.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,2.0,2.0,5.0
